Rk,Team,season,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Vegas Golden Knights,2022,22,16,6,0,3,2,0.727,88,57,31
2,Florida Panthers,2022,21,13,8,0,7,0,0.619,62,69,-7
3,Dallas Stars,2022,19,10,9,0,1,4,0.526,59,61,-2
4,Carolina Hurricanes,2022,15,8,7,0,3,2,0.533,46,38,8
5,Seattle Kraken,2022,14,7,7,0,2,0,0.500,44,45,-1
6,Edmonton Oilers,2022,12,6,6,0,1,2,0.500,44,42,2
7,Toronto Maple Leafs,2022,11,5,6,0,3,2,0.455,33,35,-2
8,New Jersey Devils,2022,12,5,7,0,1,1,0.417,30,41,-11
9,Boston Bruins,2022,7,3,4,0,0,2,0.429,27,26,1
10,Colorado Avalanche,2022,7,3,4,0,0,1,0.429,19,18,1
11,New York Rangers,2022,7,3,4,0,0,1,0.429,17,17,0
12,New York Islanders,2022,6,2,4,0,0,2,0.333,15,16,-1
13,Minnesota Wild,2022,6,2,4,0,1,0,0.333,14,21,-7
14,Los Angeles Kings,2022,6,2,4,0,2,1,0.333,20,25,-5
15,Tampa Bay Lightning,2022,6,2,4,0,0,3,0.333,21,23,-2
16,Winnipeg Jets,2022,5,1,4,0,0,1,0.200,14,19,-5
